编号,租金,租赁方式,地铁距离,房屋类型,房屋面积,朝向,楼层,车位,用电,采暖,电梯,用水,燃气,区域
BJ2892855765415239680,4700,整租,1191m,1房间1卫,39,南,中楼层,租用车位,商电,集中供暖,有,商水,有,昌平
BJ2878218302977474560,12700,整租,727m,1室1厅1卫,105.39,东,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2884093662462222336,15000,整租,1064m,3室2厅2卫,124.58,西南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1570703595328765952,8000,整租,921m,1室1厅1卫,66.5,南,低楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ1569205017162809344,7000,整租,1028m,2室1厅1卫,58.23,东南/西北,中楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2902312354983452672,4600,整租,,2室1厅1卫,38.27,西,中楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ2906576927810650112,7500,整租,417m,1室1厅1卫,62.5,西,低楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1571800059421392896,6000,整租,1026m,1室1厅1卫,50,东,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1565367922849742848,9300,整租,881m,3室1厅1卫,77.5,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2867305990448226304,6000,整租,714m,1室0厅1卫,50,北,中楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2884607895994114048,12000,整租,,2室1厅1卫,100,南,低楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1572127838230806528,7800,整租,817m,1室1厅1卫,65.03,东北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1571400824653873152,20000,整租,950m,3室2厅2卫,166.93,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1566064528154689536,11500,整租,,2室1厅1卫,96,东/西,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1567035256798707712,6840,整租,174m,1房间0卫,57.1,东,低楼层,租用车位,商电,集中供暖,有,商水,无,房山
BJ2825182857562169344,26400,整租,606m,3室1厅2卫,220.5,南,中楼层,租用车位,商电,集中供暖,有,商水,有,朝阳
BJ1571033791957303296,8500,整租,456m,1室1厅1卫,71,西,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2870927660786122752,11500,整租,1064m,2室1厅1卫,96.06,南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1565208950356312064,7900,整租,767m,1室0厅1卫,66,南,低楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2897887820754993152,5900,整租,448m,1室0厅1卫,49.35,东南,中楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ1574631651487514624,4900,整租,835m,2房间1卫,41,北,低楼层,租用车位,民电,集中供暖,有,民水,有,昌平
BJ1572096922993295360,8000,整租,764m,2室1厅1卫,67,西南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2904452839587979264,13000,整租,330m,3室2厅1卫,109,南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2874608247556276224,18200,整租,727m,2室2厅2卫,152.66,东,低楼层,租用车位,商电,集中供暖,有,民水,有,西城
BJ2628341684324540416,24900,整租,517m,4室2厅3卫,209.07,南/北,中楼层,租用车位,民电,自采暖,无,民水,有,朝阳
BJ1570992144196304896,9000,整租,484m,1室1厅1卫,75.58,西北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2892804193142718464,6900,整租,1195m,1室1厅1卫,58,东/西/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1566253108734984192,7800,整租,186m,2室1厅1卫,65.59,南/北,中楼层,免费使用,民电,集中供暖,无,民水,有,朝阳
BJ1568812451376398336,5800,整租,93m,1室0厅1卫,48.79,南,中楼层,租用车位,民电,自采暖,有,民水,无,西城
BJ1567472262125191168,10700,整租,,2室1厅1卫,90.14,东南,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2889021941267054592,7000,整租,886m,2室1厅1卫,59,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1568591105723727872,5400,整租,667m,2室1厅1卫,45.56,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ1567173407529762816,8000,整租,,1室1厅1卫,67.5,东,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1574591727065366528,4500,整租,1185m,1室0厅1卫,38,东南,高楼层,租用车位,民电,集中供暖,有,民水,无,丰台
BJ2870356574109974528,11000,整租,771m,1室0厅1卫,93,南,高楼层,租用车位,民电,集中供暖,有,民水,无,朝阳
BJ2886340152681037824,6500,整租,511m,1室1厅1卫,54.98,北,高楼层,租用车位,民电,自采暖,有,民水,有,西城
BJ1569529820893675520,6000,整租,955m,2室0厅1卫,50.76,东/西,中楼层,租用车位,民电,集中供暖,无,民水,有,东城
BJ2862231106986442752,9500,整租,656m,2室2厅1卫,80.4,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1573565413277564928,15000,整租,,3室2厅2卫,127,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2873965368505286656,7500,整租,921m,1室1厅1卫,63.5,东,高楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ1571100958904025088,7500,整租,172m,2室1厅1卫,63.5,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2898692804094205952,14500,整租,976m,2室1厅1卫,123,南,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2884608817600143360,6600,整租,,2室2厅2卫,56,南,高楼层,租用车位,民电,集中供暖,有,民水,无,石景山
BJ1569961002961731584,22000,整租,895m,3室2厅2卫,186.85,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2886327872153731072,8300,整租,,2室2厅1卫,70.52,东/西/北,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1569905918861115392,6000,整租,667m,2室1厅1卫,51,东,中楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2901360439546093568,16000,整租,770m,3室1厅2卫,136.08,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2873092365164486656,11300,整租,1064m,2室1厅1卫,96.13,南,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2893300177727397888,11500,整租,286m,2室1厅1卫,98,东,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1571399102627840000,17000,整租,378m,3室1厅2卫,145,东南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1573888654122680320,7500,整租,408m,2室1厅1卫,64,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2901531715434446848,12000,整租,931m,3室1厅2卫,102.49,东/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1570773512413511680,4800,整租,,1室0厅1卫,41,东,低楼层,免费使用,民电,自采暖,有,民水,无,海淀
BJ2896204486379323392,4800,整租,929m,1室1厅1卫,41,南,中楼层,免费使用,民电,自采暖,无,民水,有,东城
BJ2865787920332636160,4000,整租,1038m,1房间1卫,34.22,南,高楼层,免费使用,商电,集中供暖,有,商水,无,西城
BJ1567502748142796800,25000,整租,1020m,4室2厅3卫,214,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2902353964853379072,16000,整租,174m,3室2厅2卫,137,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1570265997724614656,7300,整租,1137m,1室1厅1卫,62.55,东南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1572416811050205184,10500,整租,378m,2室1厅1卫,90,西,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ1572146164080312320,7000,整租,,2室1厅1卫,60,南,低楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1574747511866785792,7000,整租,186m,2室1厅1卫,60,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ1574010906537361408,9800,整租,186m,3室1厅1卫,84,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2897877178169425920,14000,整租,,3室1厅2卫,120.02,南/西,低楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2817334173608714240,9200,整租,501m,2房间1卫,78.97,南,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1567706179608510464,7500,整租,1045m,2室1厅1卫,64.4,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1566362545873223680,7800,整租,764m,1室2厅1卫,67,南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1570732318635589632,7800,整租,835m,2室1厅1卫,67,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,东城
BJ1566760511830228992,7100,整租,913m,2室1厅1卫,61,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2816020384661372928,49800,整租,940m,5室2厅2卫,427.87,南/北,低楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ1569318420216807424,25000,整租,693m,4室2厅3卫,215,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ2797139048295038976,16500,整租,1098m,3室2厅2卫,142.2,西南,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1572189484835930112,6800,整租,400m,1室0厅1卫,58.66,东,低楼层,租用车位,民电,自采暖,有,民水,有,西城
BJ2906420493995212800,11000,整租,,3室1厅1卫,95,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ2890764607352209408,7200,整租,972m,1室1厅1卫,62.2,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ1571799614598676480,18500,整租,,3室2厅2卫,160,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1567048181777170432,10000,整租,,5房间3卫,86.64,南/北,中楼层,租用车位,商电,集中供暖,有,民水,有,石景山
BJ2893549905916198912,10000,整租,635m,2室2厅1卫,86.65,东北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1565285108905148416,4500,整租,835m,1室0厅0卫,39,东,中楼层,租用车位,民电,集中供暖,有,民水,无,海淀
BJ1567022803796885504,6000,整租,1097m,1室1厅1卫,52,南,中楼层,免费使用,商电,集中供暖,有,商水,有,海淀
BJ2896410685871497216,3500,整租,,2房间1卫,30.35,西,高楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ2866072663317544960,9800,整租,877m,1室2厅1卫,85,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1569155999816744960,6500,整租,511m,1室1厅1卫,56.4,西北,低楼层,租用车位,民电,自采暖,有,民水,有,西城
BJ2892627532220743680,11000,整租,,4房间1卫,95.65,南,中楼层,租用车位,商电,自采暖,有,商水,有,海淀
BJ1569544969318825984,5600,整租,416m,1房间1卫,48.76,西,高楼层,租用车位,民电,集中供暖,有,民水,无,朝阳
BJ2901993821527080960,7000,整租,502m,1室1厅1卫,61,东南,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2868689655124475904,8600,整租,217m,3室1厅1卫,75,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2892618876728909824,18000,整租,814m,3室2厅2卫,157,南/北,高楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2892625259050041344,22000,整租,38m,4室2厅3卫,192,南/北,低楼层,免费使用,民电,自采暖,无,民水,有,丰台
BJ1572115575042211840,8000,整租,833m,2室1厅1卫,70,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,西城
BJ2867503073209884672,13000,整租,882m,2室1厅2卫,114,南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2903777689385312256,7300,整租,627m,1室0厅1卫,64.06,西,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1568834782958190592,6600,整租,676m,3房间2卫,58,北,高楼层,租用车位,商电,集中供暖,有,民水,有,石景山
BJ2893544091503558656,14900,整租,507m,2室1厅1卫,131,西/北,低楼层,租用车位,民电,集中供暖,有,民水,无,朝阳
BJ1566040072183087104,7500,整租,630m,2室1厅1卫,65.98,南,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1569636831245369344,25000,整租,38m,4室2厅3卫,220,南/北,低楼层,免费使用,民电,自采暖,无,民水,有,丰台
BJ2894046873159467008,5000,整租,448m,1室1厅1卫,44,北,低楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ1569207275107647488,6500,整租,683m,2室1厅1卫,57.25,南,中楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2836073128193966080,65000,整租,,5室2厅4卫,573,东/南/西/北,低楼层,免费使用,民电,自采暖,无,民水,有,顺义
BJ2892737034466623488,6600,整租,817m,1室0厅0卫,58.19,北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2892706501602836480,30000,整租,942m,4室2厅2卫,264.7,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2867971687830528000,6800,整租,,2室1厅1卫,60,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2897769580607053824,12000,整租,817m,2室1厅1卫,106,南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2901421432200503296,15500,整租,,2室1厅2卫,137,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2816089077705605120,13000,整租,918m,3室2厅1卫,115,南,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2875216445099753472,30000,整租,727m,3室1厅1卫,265.55,西,中楼层,租用车位,商电,集中供暖,有,民水,有,西城
BJ1572086678107979776,26000,整租,196m,2室2厅2卫,230.32,东南/南,中楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ1569258548204929024,7900,整租,373m,2房间1卫,70,东北,高楼层,租用车位,商电,集中供暖,有,商水,无,朝阳
BJ1572143428844650496,22000,整租,654m,4室2厅2卫,195,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ1571748406466969600,8800,整租,993m,2室1厅1卫,78,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1565581932304007168,5300,整租,898m,1室1厅1卫,47,南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2897938640300670976,5400,整租,683m,1室1厅1卫,47.9,东,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1573663671924555776,6200,整租,1097m,1室1厅1卫,55,南,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1568844517019222016,30000,整租,977m,4室2厅2卫,266.13,东北,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1569622768717135872,7800,整租,1005m,3室1厅1卫,69.3,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2904163953628422144,9000,整租,267m,3房间2卫,80,西南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2893361749279645696,7500,整租,640m,1室1厅1卫,66.77,北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1570052121259147264,5800,整租,80m,1室0厅1卫,51.66,北,低楼层,租用车位,民电,集中供暖,无,民水,无,朝阳
BJ2884109505338556416,13900,整租,627m,3室1厅2卫,123.81,东/南,中楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1566004254294933504,6000,整租,1194m,1室1厅1卫,53.6,南,低楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2879021569714159616,6600,整租,1020m,1室0厅1卫,59,北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1572086370229288960,8500,整租,144m,1室1厅1卫,76,东,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2848568102617628672,5700,整租,1069m,1房间1卫,51,东,低楼层,租用车位,民电,集中供暖,有,民水,无,朝阳
BJ1571353650767331328,9500,整租,,2室1厅1卫,85,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2893480469649686528,3800,整租,1185m,1室0厅1卫,34,西北,高楼层,租用车位,商电,集中供暖,有,商水,无,丰台
BJ2903651536481820672,7600,整租,,2室1厅1卫,68,东,低楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1574333422086651904,15000,整租,74m,6房间3卫,134.41,南/北,低楼层,租用车位,民电,集中供暖,有,民水,无,昌平
BJ2388893181505699840,10800,整租,80m,1室1厅1卫,96.82,东北,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ2867267068834103296,14500,整租,1064m,3室1厅2卫,130,东南,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1566312975642394624,5800,整租,45m,1室0厅1卫,52,西,低楼层,租用车位,民电,集中供暖,有,民水,无,东城
BJ2906484590250033152,15500,整租,,3室1厅2卫,139,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1570979612219932672,6800,整租,921m,1室1厅1卫,61.03,北,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ1569540550732808192,9800,整租,503m,2室1厅1卫,88,西/西北/北,低楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ1565177024463503360,6400,整租,510m,1室1厅1卫,57.5,西/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1569921293715767296,10000,整租,337m,1房间1卫,90,东/西,中楼层,租用车位,民电,集中供暖,有,民水,有,房山
BJ2904864479127019520,7000,整租,101m,1室1厅1卫,63,北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2871729142125035520,10000,整租,656m,3室1厅1卫,90,南/北,低楼层,租用车位,商电,集中供暖,有,商水,有,海淀
BJ1568903897513197568,6000,整租,,1房间2卫,54,北,高楼层,租用车位,民电,集中供暖,无,民水,无,石景山
BJ2894837524143292416,14000,整租,,3室1厅1卫,126,西/北,低楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2899305795441672192,12000,整租,,3室1厅1卫,108,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1575108389556453376,6500,整租,464m,2室1厅1卫,58.5,南,高楼层,租用车位,民电,集中供暖,有,商水,有,海淀
BJ1569544805350899712,8500,整租,630m,3室1厅1卫,76.6,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2799956616542158848,11000,整租,462m,3室2厅1卫,99.13,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ1569997464566497280,6000,整租,921m,1室1厅1卫,54.14,北,高楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ2905915541132673024,7200,整租,,2室1厅1卫,65,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ1574366523500265472,7200,整租,507m,1室0厅1卫,65,西,中楼层,租用车位,民电,集中供暖,有,民水,无,朝阳
BJ2801302744244158464,7500,整租,497m,3室1厅1卫,67.72,东/西/北,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ1572581877762490368,7000,整租,921m,1室1厅1卫,63.35,东,低楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ1571373366886006784,7200,整租,45m,1室0厅1卫,65.18,东/西,中楼层,租用车位,民电,集中供暖,有,民水,无,东城
BJ2894256284146868224,6500,整租,补603,1房间1卫,58.87,南,中楼层,租用车位,民电,自采暖,有,民水,有,昌平
BJ2894258109667622912,6500,整租,补603,1房间1卫,58.87,南,中楼层,租用车位,民电,自采暖,有,民水,有,昌平
BJ2871864977201823744,9000,整租,501m,3房间1卫,81.54,南,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2818086439236149248,7800,整租,918m,2室1厅1卫,70.75,东/西,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1567478933392195584,14000,整租,1192m,2室1厅1卫,127,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1569925112700862464,10800,整租,575m,2室1厅1卫,98,西,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ2905773961143132160,6500,整租,593m,2室1厅1卫,59,西南,低楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1568590008086953984,6500,整租,510m,1室1厅1卫,59,北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2877508266844225536,7600,整租,1072m,2室1厅1卫,69,东南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1572545799735214080,7600,整租,231m,3房间2卫,69,东南,低楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1571758589020733440,17000,整租,846m,3室2厅2卫,154.54,南/北,低楼层,租用车位,民电,自采暖,有,民水,有,顺义
BJ2903038880972546048,5500,整租,552m,2房间2卫,50,东南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1572914608446898176,6600,整租,416m,2房间1卫,60,西,中楼层,租用车位,民电,集中供暖,有,民水,无,朝阳
BJ1565610992241475584,6600,整租,28m,2室1厅1卫,60,南,中楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ2903639720581922816,17500,整租,184m,5房间2卫,159.27,东/南,高楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ2525291822134607872,28000,整租,,4室2厅3卫,255,南/北,高楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2906385503920062464,5600,整租,512m,2室1厅1卫,51,南,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1565263540648935424,16800,整租,272m,3室2厅2卫,153,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2894906847583027200,9000,整租,,2室1厅1卫,82,西/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1573220108203982848,6800,整租,715m,1室1厅1卫,62,北,低楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1571053211186364416,6800,整租,288m,2室1厅1卫,62,西,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ2777544082208063488,13800,整租,895m,2室2厅1卫,126,西/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1565313857537179648,4900,整租,492m,1室1厅1卫,44.8,南,高楼层,免费使用,民电,集中供暖,无,民水,有,海淀
BJ1568838217241722880,6300,整租,717m,3房间1卫,57.7,西北,中楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1569535266631188480,15500,整租,189m,3室2厅2卫,142,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2896227592288083968,6300,整租,610m,2室1厅1卫,57.79,南/北,低楼层,租用车位,商电,自采暖,无,民水,有,东城
BJ1572872506375667712,5300,整租,511m,1室0厅1卫,48.68,东,中楼层,租用车位,民电,自采暖,有,民水,有,西城
BJ2882044105200762880,8600,整租,1127m,3房间1卫,79,南,中楼层,租用车位,商电,集中供暖,有,商水,有,昌平
BJ1565505679785984000,14000,整租,1192m,2室1厅1卫,128.69,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1570665845040873472,6200,整租,373m,2房间1卫,57,南,低楼层,免费使用,商电,集中供暖,有,商水,无,朝阳
BJ1573614788179656704,6200,整租,373m,2房间1卫,57,北,中楼层,租用车位,商电,集中供暖,有,商水,无,朝阳
BJ2896501418406191104,30000,整租,331m,5室2厅4卫,276,东/南/北,低楼层,免费使用,民电,集中供暖,有,民水,有,朝阳
BJ1567512771862462464,7070,整租,525m,2室1厅1卫,65.2,东南,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1574337987053879296,18000,整租,1020m,3室2厅2卫,166,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1569945950145740800,6800,整租,155m,2室1厅1卫,62.75,东北,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ1572198782320246784,7500,整租,45m,1室1厅1卫,69.23,东,高楼层,租用车位,民电,集中供暖,有,民水,无,东城
BJ2899165764089290752,6500,整租,,2室1厅1卫,60,东/西,高楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2882442890096164864,13000,整租,227m,2室2厅2卫,120,东/南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2873061763824492544,6500,整租,464m,2室1厅1卫,60,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,海淀
BJ2874788830924513280,13000,整租,728m,3室1厅1卫,120,西北,中楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2897872138805985280,6000,整租,921m,1室1厅1卫,55.41,西,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ1569975991722311680,6600,整租,921m,1室1厅1卫,61.03,北,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ2820195572961779712,4000,整租,,3房间1卫,37,西/北,高楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1571160937098903552,4000,整租,888m,2室1厅1卫,37,东,低楼层,免费使用,民电,集中供暖,有,民水,无,通州
BJ1567066973794205696,5900,整租,288m,1室1厅1卫,54.58,南,高楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ1574621316948951040,5400,整租,115m,1房间1卫,50,东北,中楼层,租用车位,民电,集中供暖,有,民水,无,昌平
BJ1572194966040477696,7200,整租,676m,4房间2卫,66.67,南,高楼层,租用车位,商电,集中供暖,有,民水,有,石景山
BJ1568569332949057536,22000,整租,889m,4室2厅3卫,203.77,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1569637782320578560,8800,整租,323m,3室1厅1卫,81.51,东/南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,东城
BJ1569925782057254912,9500,整租,525m,3室1厅1卫,88,南/西,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1573581942824108032,6800,整租,921m,1室1厅1卫,63,东,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ2898434200363335680,8200,整租,538m,1室1厅1卫,76,北,高楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ1569299349106589696,4100,整租,266m,1房间1卫,38,东,中楼层,租用车位,商电,集中供暖,无,商水,无,丰台
BJ1565216435507036160,9600,整租,,2室1厅1卫,89,东/南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2893387073220517888,5500,整租,274m,1房间1卫,51,西,中楼层,租用车位,民电,集中供暖,有,民水,无,昌平
BJ1571344836433281024,8200,整租,,2室1厅1卫,76.07,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1572919177314828288,7000,整租,507m,1室0厅1卫,65,北,中楼层,租用车位,民电,集中供暖,有,民水,无,朝阳
BJ2860283304169439232,7000,整租,,3室1厅2卫,65,东南,中楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ2812986835058835456,23000,整租,539m,5房间3卫,213.7,西南/北,中楼层,租用车位,商电,集中供暖,有,商水,有,亦庄开发区
BJ1569927622740148224,9000,整租,,2室1厅1卫,83.64,西北,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ1569948914004525056,8000,整租,955m,3室1厅1卫,74.4,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,东城
BJ2893312626018746368,4300,整租,27m,1室0厅1卫,40,东南,中楼层,免费使用,民电,集中供暖,有,民水,有,丰台
BJ1567704234080600064,14500,整租,,3室2厅2卫,135,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,丰台
BJ2892647467512774656,17500,整租,538m,3室1厅1卫,163,西南,低楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2868194360015454208,16000,整租,292m,4室2厅2卫,149.07,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2772373945423503360,22000,整租,727m,2室1厅1卫,205,东,中楼层,租用车位,商电,集中供暖,有,民水,有,西城
BJ1566754369133608960,9300,整租,770m,2室1厅1卫,86.74,西北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
